"Lager","tick"
12.0,1.0
12.0,2.0
21.0,3.0
28.0,4.0
35.0,5.0
35.0,6.0
39.0,7.0
46.0,8.0
50.0,9.0
58.0,10.0
67.0,11.0
67.0,12.0
73.0,13.0
77.0,14.0
83.0,15.0
83.0,16.0
88.0,17.0
96.0,18.0
102.0,19.0
102.0,20.0
107.0,21.0
113.0,22.0
113.0,23.0
113.0,24.0
113.0,25.0
117.0,26.0
117.0,27.0
117.0,28.0
121.0,29.0
121.0,30.0
121.0,31.0
121.0,32.0
121.0,33.0
121.0,34.0
121.0,35.0
121.0,36.0
121.0,37.0
125.0,38.0
125.0,39.0
129.0,40.0
129.0,41.0
129.0,42.0
129.0,43.0
129.0,44.0
129.0,45.0
129.0,46.0
129.0,47.0
129.0,48.0
129.0,49.0
129.0,50.0
129.0,51.0
129.0,52.0
129.0,53.0
129.0,54.0
129.0,55.0
129.0,56.0
129.0,57.0
129.0,58.0
